"amphibian_ntaxa.x","amphibian_mpd.obs","amphibian_mpd.rand.mean","amphibian_mpd.rand.sd","amphibian_mpd.obs.rank","amphibian_mpd.obs.z","amphibian_mpd.obs.p","amphibian_runs.x","amphibian_NRI","grid_id","amphibian_ntaxa.y","amphibian_mntd.obs","amphibian_mntd.rand.mean","amphibian_mntd.rand.sd","amphibian_mntd.obs.rank","amphibian_mntd.obs.z","amphibian_mntd.obs.p","amphibian_runs.y","amphibian_NTI"
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10000,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10001,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10002,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10003,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10004,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10005,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10006,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10007,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10008,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10009,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10010,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10011,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
7,272.405796,297.150318807188,43.313759785944,281,-0.571285497483369,0.281,999,0.571285497483369,10012,7,145.795363714286,176.604434799943,43.6636557454527,260,-0.705599899038817,0.26,999,0.705599899038817
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10013,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
10,297.387814533333,298.12106322765,34.1189802386236,455,-0.0214909322959923,0.455,999,0.0214909322959923,10014,10,180.291461,153.542657418018,33.4620796827567,780,0.799376602876414,0.78,999,-0.799376602876414
12,309.247565787879,298.034244944596,31.0328058972269,591,0.361337639929128,0.591,999,-0.361337639929128,10015,12,129.132844166667,141.994644462462,29.1806929250176,346,-0.440764046585369,0.346,999,0.440764046585369
12,309.247565787879,298.034244944596,31.0328058972269,591,0.361337639929128,0.591,999,-0.361337639929128,10016,12,129.132844166667,141.994644462462,29.1806929250176,346,-0.440764046585369,0.346,999,0.440764046585369
12,310.486573454545,298.500030327403,31.3478087213544,607,0.382372600065565,0.607,999,-0.382372600065565,10017,12,142.7619285,143.197743076076,28.3691810502225,483,-0.0153622543881181,0.483,999,0.0153622543881181
13,300.392806307692,298.374474683132,29.276043094949,488,0.0689414077583688,0.488,999,-0.0689414077583688,10018,13,129.998458769231,138.620041189497,25.9730004211945,377,-0.331944029586625,0.377,999,0.331944029586625
15,282.924772495238,298.702092784623,26.4229474121127,269,-0.597106751313898,0.269,999,0.597106751313898,10019,15,106.533595066667,129.910515169836,22.9417256627303,147,-1.0189695599554,0.147,999,1.0189695599554
17,266.867131058824,298.504255632419,24.553135551488,109,-1.28851667467287,0.109,999,1.28851667467287,10020,17,93.9703389411765,123.365011116293,20.6953817027103,75,-1.42034936090436,0.075,999,1.42034936090436
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10099,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10100,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10101,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10102,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10103,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10104,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10105,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10106,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
7,289.239041142857,297.369356872873,42.7144227031082,397,-0.190341229390515,0.397,999,0.190341229390515,10107,7,154.211986285714,176.131206594309,43.2113109402778,336,-0.50725654537278,0.336,999,0.50725654537278
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10108,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10109,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10110,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10111,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10112,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
8,311.5085205,296.9254384576,39.4270095639129,607,0.369875428131564,0.607,999,-0.369875428131564,10113,8,181.17303,167.606850211211,39.0773570320922,622,0.34716216292846,0.622,999,-0.34716216292846
