Species,Aquatic,Herbivorous,Nocturnal,Scansorial,Fossorial,Large,Terrestrial,Archetype,Archetype_without_mass,Archetype_without_activity
Ctenotus inornatus,0,0,0,0,0,0.294,0.706,Terrestrial,Terrestrial,Terrestrial
Ctenotus labillardieri,0.001,0,0.006,0.907,0,0.086,0,Scansorial,Scansorial,Scansorial
Ctenotus lancelini,0,0,0,0,0,0.271,0.729,Terrestrial,Terrestrial,Terrestrial
Ctenotus leae,0,0.577,0,0,0,0.083,0.34,Herbivorous,Herbivorous,Herbivorous
Ctenotus leonhardii,0,0.556,0,0,0,0.154,0.29,Herbivorous,Herbivorous,Herbivorous
Ctenotus nasutus,0,0,0,0,0,0.097,0.903,Terrestrial,Terrestrial,Terrestrial
Ctenotus orientalis,0,0,0,0,0,0.254,0.746,Terrestrial,Terrestrial,Terrestrial
Ctenotus pantherinus,0,0,0.432,0,0,0.241,0.327,Nocturnal,Nocturnal,Terrestrial
Ctenotus piankai,0,0,0,0,0,0.171,0.829,Terrestrial,Terrestrial,Terrestrial
Ctenotus pulchellus,0,0,0,0,0,0.265,0.735,Terrestrial,Terrestrial,Terrestrial
Ctenotus quattuordecimlineatus,0,0,0,0,0,0.215,0.785,Terrestrial,Terrestrial,Terrestrial
Ctenotus regius,0,0.552,0,0,0,0.168,0.28,Herbivorous,Herbivorous,Herbivorous
Ctenotus robustus,0,0.518,0,0,0,0.288,0.194,Herbivorous,Herbivorous,Herbivorous
Ctenotus rosarium,0,0,0,0,0,0.086,0.914,Terrestrial,Terrestrial,Terrestrial
Ctenotus schomburgkii,0,0,0,0,0,0.155,0.845,Terrestrial,Terrestrial,Terrestrial
Ctenotus septenarius,0,0,0,0.017,0.868,0.116,0,Fossorial,Fossorial,Fossorial
Ctenotus spaldingi,0.003,0,0.013,0.803,0,0.181,0,Scansorial,Scansorial,Scansorial
Ctenotus strauchii,0,0,0,0,0,0.184,0.816,Terrestrial,Terrestrial,Terrestrial
Ctenotus taeniolatus,0,0,0,0,0,0.277,0.723,Terrestrial,Terrestrial,Terrestrial
Ctenotus tantillus,0,0,0,0,0,0.101,0.899,Terrestrial,Terrestrial,Terrestrial
Ctenotus uber,0,0.911,0,0,0,0.089,0,Herbivorous,Herbivorous,Herbivorous
Ctenotus vertebralis,0,0,0,0,0,0.146,0.854,Terrestrial,Terrestrial,Terrestrial
Ctenotus xenopleura,0,0,0,0,0,0.121,0.879,Terrestrial,Terrestrial,Terrestrial
Cyclodomorphus branchialis,0,0,0.433,0,0,0.227,0.34,Nocturnal,Nocturnal,Terrestrial
Cyclodomorphus casuarinae,0,0,0.426,0,0,0.329,0.245,Nocturnal,Nocturnal,Terrestrial
Cyclodomorphus celatus,0,0,0.433,0,0,0.229,0.338,Nocturnal,Nocturnal,Terrestrial
Cyclodomorphus gerrardii,0,0,0.673,0,0,0.327,0,Nocturnal,Nocturnal,Scansorial
Cyclodomorphus maximus,0,0.402,0.177,0,0,0.419,0.001,Large,Herbivorous,Herbivorous
Cyclodomorphus melanops,0,0,0.865,0,0,0.135,0,Nocturnal,Nocturnal,Scansorial
Cyclodomorphus michaeli,0,0,0.426,0,0,0.329,0.245,Nocturnal,Nocturnal,Terrestrial
Cyclodomorphus venustus,0,0,0.436,0,0,0.18,0.384,Nocturnal,Nocturnal,Terrestrial
Cyclura carinata,0,0.366,0,0,0,0.634,0,Large,Herbivorous,Large
Cyclura collei,0,0.413,0,0,0,0.587,0,Large,Herbivorous,Herbivorous
Cyclura cornuta,0,0.223,0,0,0,0.777,0,Large,Herbivorous,Large
Cyclura cychlura,0,0.216,0,0,0,0.783,0,Large,Herbivorous,Large
Cyclura lewisi,0,0.261,0,0,0,0.739,0,Large,Herbivorous,Large
Cyclura nubila,0,0.265,0,0,0,0.735,0,Large,Herbivorous,Large
Cyclura pinguis,0,0.257,0,0,0,0.743,0,Large,Herbivorous,Large
Cyclura ricordi,0,0.295,0,0,0,0.705,0,Large,Herbivorous,Large
Cyclura rileyi,0,0.433,0,0,0,0.567,0,Large,Herbivorous,Herbivorous
Cyrtodactylus aaroni,0,0,0.954,0,0,0.046,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus adleri,0,0,0.941,0,0.011,0,0.047,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus adorus,0,0,0.904,0,0,0.096,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus agusanensis,0,0,0.941,0,0,0.059,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus albofasciatus,0,0,0.971,0,0.005,0,0.023,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus angularis,0,0,0.438,0,0,0.154,0.408,Nocturnal,Nocturnal,Terrestrial
Cyrtodactylus annandalei,0,0,0.876,0,0.024,0,0.1,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus annulatus,0,0,0.989,0,0.002,0,0.009,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus astrum,0,0,0.935,0,0,0.065,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus aurensis,0,0,0.958,0,0,0.042,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus auribalteatus,0,0,0.96,0,0,0.04,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus australotitiwangsaensis,0,0,0.91,0,0,0.09,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus ayeyarwadyensis,0,0,0.979,0,0.004,0,0.017,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus badenensis,0,0,0.964,0,0.007,0,0.029,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus baluensis,0,0,0.96,0,0,0.04,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus bansocensis,0,0,0.964,0,0.007,0,0.029,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus batik,0,0,0.923,0,0,0.077,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus batucolus,0,0,0.969,0,0.006,0,0.025,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus bichnganae,0,0,0.956,0,0,0.044,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus bidoupimontis,0,0,0.993,0,0,0.007,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus bintangrendah,0,0,0.923,0,0,0.077,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus bintangtinggi,0,0,0.929,0,0,0.071,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus biordinis,0,0,0.97,0,0,0.03,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus bobrovi,0,0,0.964,0,0,0.036,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus boreoclivus,0,0,0.935,0,0,0.065,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus brevidactylus,0,0,0.987,0,0,0.013,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus buchardi,0,0,0.924,0,0.015,0,0.061,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus bugiamapensis,0,0,0.984,0,0.003,0,0.013,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus calamei,0,0,0.985,0,0,0.015,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus caovansungi,0,0,0.97,0,0,0.03,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus capreoloides,0,0,0.999,0,0,0.001,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus cattienensis,0,0,0.944,0,0.011,0,0.045,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus cavernicolus,0,0,0.991,0,0.002,0,0.007,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus chauquangensis,0,0,0.958,0,0,0.042,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus collegalensis,0,0,0.446,0,0,0.025,0.529,Terrestrial,Nocturnal,Terrestrial
Cyrtodactylus consobrinus,0,0,0.9,0,0,0.1,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus cryptus,0,0,0.974,0,0,0.026,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus cucdongensis,0,0,0.929,0,0.014,0,0.057,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus darevskii,0,0,0.956,0,0,0.044,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus darmandvillei,0,0,0.993,0,0,0.007,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus dati,0,0,0.946,0,0.01,0,0.043,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus deccanensis,0,0,0.439,0,0,0.129,0.432,Nocturnal,Nocturnal,Terrestrial
Cyrtodactylus deveti,0,0,0.943,0,0,0.057,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus doisuthep,0,0,0.98,0,0,0.019,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus dumnuii,0,0,0.999,0,0,0.001,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus durio,0,0,0.956,0,0,0.044,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus edwardtaylori,0,0,0.968,0,0,0.032,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus eisenmanae,0,0,0.985,0,0,0.015,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus elok,0,0,0.994,0,0.001,0,0.005,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus epiroticus,0,0,0.883,0,0,0.116,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus erythrops,0,0,0.986,0,0.003,0,0.011,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus fasciolatum,0,0,0.994,0,0.001,0,0.005,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus feae,0,0,0.826,0,0.033,0,0.14,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus fraenatus,0,0,0.956,0,0,0.044,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus fumosus,0,0,0.987,0,0,0.013,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus gansi,0,0,0.916,0,0.016,0,0.067,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus gordongekkoi,0,0,0.959,0,0.008,0,0.033,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus grismeri,0,0,0.968,0,0,0.032,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus guakanthanensis,0,0,0.994,0,0.001,0,0.005,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus gubaot,0,0,0.956,0,0,0.044,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus gunungsenyumensis,0,0,0.966,0,0.006,0,0.027,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus halmahericus,0,0,0.959,0,0.008,0,0.033,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus hidupselamanya,0,0,0.949,0,0,0.05,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus hikidai,0,0,0.949,0,0,0.05,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus hinnamnoensis,0,0,0.954,0,0,0.046,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus hitchi,0,0,0.984,0,0.003,0,0.013,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus hontreensis,0,0,0.985,0,0,0.015,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus hoskini,0,0,0.927,0,0,0.073,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus huongsonensis,0,0,0.982,0,0,0.017,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus ingeri,0,0,0.989,0,0.002,0,0.009,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus interdigitalis,0,0,0.986,0,0.003,0,0.011,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus intermedius,0,0,0.976,0,0,0.024,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus inthanon,0,0,0.989,0,0,0.011,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus jaegeri,0,0,0.941,0,0.011,0,0.047,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus jambangan,0,0,0.991,0,0.002,0,0.007,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus jarakensis,0,0,0.934,0,0.013,0,0.053,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus jarujini,0,0,0.982,0,0,0.017,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus jelawangensis,0,0,0.91,0,0,0.09,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus jellesmae,0,0,0.984,0,0.003,0,0.013,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus jeyporensis,0,0,0.901,0,0.019,0,0.08,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus khammouanensis,0,0,0.959,0,0.008,0,0.033,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus khasiensis,0,0,0.982,0,0,0.017,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus khelangensis,0,0,0.968,0,0,0.032,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus kunyai,0,0,0.987,0,0,0.013,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus laevigatus,0,0,0.826,0,0.033,0,0.14,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus langkawiensis,0,0,0.956,0,0,0.044,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus lateralis,0,0,0.966,0,0,0.034,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus lawderanum,0,0,0.874,0,0.024,0,0.102,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus leegrismeri,0,0,0.976,0,0,0.024,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus lekaguli,0,0,0.947,0,0,0.052,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus lenggongensis,0,0,0.947,0,0,0.052,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus lomyenensis,0,0,0.951,0,0.009,0,0.039,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus loriae,0,0,0.846,0,0,0.154,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus louisiadensis,0,0,0.875,0,0,0.125,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus macrotuberculatus,0,0,0.91,0,0,0.09,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus majulah,0,0,0.941,0,0.011,0,0.047,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus malayanus,0,0,0.914,0,0,0.086,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus mamanwa,0,0,0.976,0,0,0.024,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus markuscombaii,0,0,0.956,0,0.008,0,0.035,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus marmoratus,0,0,0.995,0,0,0.005,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus martini,0,0,0.966,0,0,0.034,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus martinstolli,0,0,0.994,0,0.001,0,0.005,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus matsuii,0,0,0.943,0,0,0.057,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus mcdonaldi,0,0,0.943,0,0,0.057,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus medioclivus,0,0,0.947,0,0,0.052,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus metropolis,0,0,0.994,0,0.001,0,0.005,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus mimikanus,0,0,0.947,0,0,0.052,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus minor,0,0,0.956,0,0.008,0,0.035,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus murua,0,0,0.925,0,0,0.075,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus nebulosus,0,0,0.446,0,0,0.021,0.533,Terrestrial,Nocturnal,Terrestrial
Cyrtodactylus nepalensis,0,0,0.959,0,0.008,0,0.033,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus nigriocularis,0,0,0.937,0,0,0.063,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus novaeguineae,0,0,0.892,0,0,0.108,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus nuaulu,0,0,0.987,0,0,0.013,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus oldhami,0,0,0.976,0,0.004,0,0.019,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus otai,0,0,0.98,0,0,0.019,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus pageli,0,0,0.985,0,0,0.015,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus pantiensis,0,0,0.976,0,0.004,0,0.019,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus papilionoides,0,0,0.974,0,0,0.026,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus paradoxus,0,0,0.999,0,0,0.001,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus payacola,0,0,0.936,0,0.012,0,0.051,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus peguensis,0,0,0.995,0,0,0.005,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus petani,0,0,0.886,0,0.022,0,0.092,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus phetchaburiensis,0,0,0.916,0,0.016,0,0.067,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus philippinicus,0,0,0.962,0,0,0.038,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus phongnhakebangensis,0,0,0.945,0,0,0.055,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus phuketensis,0,0,0.923,0,0,0.077,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus phuquocensis,0,0,0.993,0,0,0.007,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus pronarus,0,0,0.885,0,0,0.114,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus psarops,0,0,0.994,0,0.001,0,0.005,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus pseudoquadrivirgatus,0,0,0.989,0,0,0.011,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus pubisulcus,0,0,0.976,0,0.004,0,0.019,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus puhuensis,0,0,0.984,0,0.003,0,0.013,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus pulchellus,0,0,0.9,0,0,0.1,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus quadrivirgatus,0,0,0.969,0,0.006,0,0.025,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus ramboda,0,0,0.958,0,0,0.042,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus ranongensis,0,0,0.899,0,0.019,0,0.082,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus redimiculus,0,0,0.97,0,0,0.03,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus rishivalleyensis,0,0,0.447,0,0,0.015,0.539,Terrestrial,Nocturnal,Terrestrial
Cyrtodactylus robustus,0,0,0.838,0,0,0.162,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus roesleri,0,0,0.969,0,0.006,0,0.025,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus rosichonariefi,0,0,0.871,0,0.025,0,0.104,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus rubidus,0,0,0.986,0,0.003,0,0.011,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus rufford,0,0,0.956,0,0.008,0,0.035,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus sadleiri,0,0,0.987,0,0,0.013,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus saiyok,0,0,0.906,0,0.018,0,0.076,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus salomonensis,0,0,0.869,0,0,0.131,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus samroiyot,0,0,0.934,0,0.013,0,0.053,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus sanook,0,0,0.984,0,0.003,0,0.013,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus semenanjungensis,0,0,0.951,0,0.009,0,0.039,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus semiadii,0,0,0.829,0,0.033,0,0.138,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus semicinctus,0,0,0.985,0,0,0.015,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus seribuatensis,0,0,0.969,0,0.006,0,0.025,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus sermowaiensis,0,0,0.943,0,0,0.057,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus sharkari,0,0,0.956,0,0,0.044,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus slowinskii,0,0,0.937,0,0,0.063,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus soba,0,0,0.941,0,0,0.059,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus sommerladi,0,0,0.989,0,0.002,0,0.009,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus soni,0,0,0.947,0,0,0.052,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus soudthichaki,0,0,0.946,0,0.01,0,0.043,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus speciosus,0,0,0.446,0,0,0.021,0.533,Terrestrial,Nocturnal,Terrestrial
Cyrtodactylus spelaeus,0,0,0.978,0,0,0.022,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus spinosus,0,0,0.999,0,0,0,0.001,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus subsolanus,0,0,0.945,0,0,0.055,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus sumonthai,0,0,0.989,0,0.002,0,0.009,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus sumuroi,0,0,0.997,0,0,0.003,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus surin,0,0,0.989,0,0.002,0,0.009,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus sworderi,0,0,0.986,0,0.003,0,0.011,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus takouensis,0,0,0.991,0,0.002,0,0.007,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus tamaiensis,0,0,0.982,0,0,0.017,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus tautbatorum,0,0,0.941,0,0.011,0,0.047,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus taynguyenensis,0,0,0.995,0,0,0.005,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus tebuensis,0,0,0.995,0,0,0.005,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus teyniei,0.002,0,0.009,0.861,0,0.128,0,Scansorial,Scansorial,Scansorial
Cyrtodactylus thirakhupti,0,0,0.986,0,0.003,0,0.011,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus thochuensis,0,0,0.993,0,0,0.007,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus thuongae,0,0,0.979,0,0.004,0,0.017,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus tigroides,0,0,0.995,0,0,0.005,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus timur,0,0,0.91,0,0,0.09,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus tiomanensis,0,0,0.991,0,0,0.009,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus triedrus,0,0,0.911,0,0.017,0,0.072,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus trilatofasciatus,0,0,0.906,0,0,0.094,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus tripartitus,0,0,0.859,0,0,0.141,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus tuberculatus,0,0,0.873,0,0,0.127,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus varadgirii,0,0,0.446,0,0,0.028,0.526,Terrestrial,Nocturnal,Terrestrial
Cyrtodactylus variegatus,0,0,0.951,0,0.009,0,0.039,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus vilaphongi,0,0,0.993,0,0,0.007,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus wallacei,0,0,0.925,0,0,0.075,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus wangkulangkulae,0,0,0.964,0,0.007,0,0.029,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus wayakonei,0,0,0.974,0,0,0.026,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus yakhuna,0,0,0.447,0,0,0.013,0.54,Terrestrial,Nocturnal,Terrestrial
Cyrtodactylus yangbayensis,0,0,0.976,0,0,0.024,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus yoshii,0,0,0.947,0,0,0.052,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus zhaoermii,0,0,0.899,0,0.019,0,0.082,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus ziegleri,0,0,0.974,0,0,0.026,0,Nocturnal,Nocturnal,Scansorial
Cyrtodactylus zugi,0,0,0.84,0,0,0.16,0,Nocturnal,Nocturnal,Scansorial
Cyrtopodion agamuroides,0,0,0.447,0,0,0.003,0.55,Terrestrial,Nocturnal,Terrestrial
Cyrtopodion battalense,0,0,0.956,0,0.008,0,0.035,Nocturnal,Nocturnal,Scansorial
Cyrtopodion dattanense,0,0,0.911,0,0.017,0,0.072,Nocturnal,Nocturnal,Scansorial
Cyrtopodion fortmunroi,0,0,0.846,0,0.03,0,0.124,Nocturnal,Nocturnal,Scansorial
Cyrtopodion golubevi,0,0,0.896,0,0.02,0,0.084,Nocturnal,Nocturnal,Scansorial
Cyrtopodion hormozganum,0,0,0.429,0,0,0,0.571,Terrestrial,Nocturnal,Terrestrial
Cyrtopodion indusoani,0,0,0.869,0,0.025,0,0.106,Nocturnal,Nocturnal,Scansorial
Cyrtopodion kachhense,0,0,0.874,0,0.024,0,0.102,Nocturnal,Nocturnal,Scansorial
Cyrtopodion kiabii,0,0,0.826,0,0.033,0,0.14,Nocturnal,Nocturnal,Scansorial
Cyrtopodion kohsulaimanai,0,0,0.445,0,0,0.042,0.513,Terrestrial,Nocturnal,Terrestrial
Cyrtopodion montiumsalsorum,0,0,0.829,0,0.033,0,0.138,Nocturnal,Nocturnal,Scansorial
Cyrtopodion persepolense,0,0,0.851,0,0.029,0,0.12,Nocturnal,Nocturnal,Scansorial
Cyrtopodion potoharense,0,0,0.859,0,0.027,0,0.114,Nocturnal,Nocturnal,Scansorial
Cyrtopodion rhodocauda,0,0,0.919,0,0.016,0,0.065,Nocturnal,Nocturnal,Scansorial
Cyrtopodion rohtasfortai,0,0,0.886,0,0.022,0,0.092,Nocturnal,Nocturnal,Scansorial
Cyrtopodion scabrum,0,0,0.924,0,0.015,0,0.061,Nocturnal,Nocturnal,Scansorial
Cyrtopodion sistanense,0,0,0.001,0.986,0,0.013,0,Scansorial,Scansorial,Scansorial
Cyrtopodion watsoni,0,0,0.869,0,0.025,0,0.106,Nocturnal,Nocturnal,Scansorial
Dactylocnemis pacificus,0,0.587,0.358,0,0,0.055,0,Herbivorous,Herbivorous,Herbivorous
Dalmatolacerta oxycephala,0.001,0,0.005,0.916,0,0.077,0,Scansorial,Scansorial,Scansorial
Darevskia armeniaca,0.001,0,0.006,0.905,0,0.088,0,Scansorial,Scansorial,Scansorial
Darevskia brauneri,0,0.938,0,0,0,0.062,0,Herbivorous,Herbivorous,Herbivorous
Darevskia caucasica,0.001,0,0.005,0.93,0,0.064,0,Scansorial,Scansorial,Scansorial
Darevskia chlorogaster,0.001,0,0.006,0.909,0,0.083,0,Scansorial,Scansorial,Scansorial
Darevskia clarkorum,0,0.942,0,0,0,0.058,0,Herbivorous,Herbivorous,Herbivorous
Darevskia dahli,0.001,0,0.004,0.944,0,0.052,0,Scansorial,Scansorial,Scansorial
